From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
06/16/2025,1,West,2,Tallahassee,10,Panama City,NULL,1,W,19007.06,0.00,0.00,5152.31,0.00,NULL,NULL,NULL,NULL,20579.48,0.00,NULL,17.00,15.00,NULL,63.05,62.80,1529.98,0.00,1118.06,7.00,3.29,0.00,2839.93,0.00,13.33
06/16/2025,1,West,2,Tallahassee,11,Valdosta,NULL,1,W,12049.38,0.00,4476.91,2452.38,1128.99,NULL,NULL,NULL,NULL,17375.43,2.50,NULL,15.00,17.00,NULL,57.47,58.46,1813.03,0.00,803.29,6.00,3.83,1119.23,3224.63,0.00,-11.76
06/16/2025,1,West,2,Tallahassee,12,Opelika,NULL,1,W,8297.23,0.00,1529.94,3668.64,0.00,NULL,NULL,NULL,NULL,8597.23,0.00,NULL,32.00,27.00,NULL,55.33,54.75,1182.36,0.00,259.29,4.00,5.25,1529.94,2105.77,0.00,18.52
06/16/2025,1,West,2,Tallahassee,13,Columbus,NULL,1,W,14139.01,0.00,3549.93,14208.37,4746.88,NULL,NULL,NULL,NULL,14389.96,5.00,NULL,32.00,38.00,NULL,60.66,59.99,1685.43,0.00,441.84,8.00,3.00,709.99,1367.50,0.00,-15.79
06/16/2025,2,East,2,Tallahassee,14,Jax Town Center,NULL,1,W,27123.25,0.00,11721.86,15937.30,9781.13,NULL,NULL,NULL,NULL,32613.13,5.50,NULL,67.00,84.00,NULL,63.45,61.65,2695.36,0.00,404.82,14.00,2.07,1302.43,2321.25,0.00,-20.24
06/16/2025,2,East,2,Tallahassee,15,Jax North,NULL,1,W,13045.00,0.00,11786.58,10037.46,299.99,NULL,NULL,NULL,NULL,14134.68,1.00,NULL,20.00,26.00,NULL,61.61,55.68,1109.85,0.00,652.25,5.00,5.20,3928.86,959.97,0.00,-23.08
06/16/2025,2,East,2,Tallahassee,16,Jax Orange Park,NULL,1,W,1828.88,0.00,819.95,819.44,0.00,NULL,NULL,NULL,NULL,3278.86,3.00,NULL,21.00,29.00,NULL,61.25,60.13,0.00,0.00,87.09,4.00,1.00,409.98,819.64,0.00,-27.59
06/16/2025,2,East,2,Tallahassee,17,Brunswick,NULL,1,W,17822.50,0.00,4099.82,8674.64,0.00,NULL,NULL,NULL,NULL,17822.50,1.00,NULL,17.00,18.00,NULL,61.82,60.24,1346.90,0.00,1048.38,8.00,3.00,585.69,2287.11,0.00,-5.56
06/16/2025,2,East,2,Tallahassee,18,Yulee,NULL,1,W,19086.04,0.00,7159.84,6890.32,1799.97,NULL,NULL,NULL,NULL,22515.97,0.00,NULL,23.00,0.00,NULL,57.83,56.67,1650.53,0.00,829.83,9.00,3.56,894.98,1891.08,0.00,0.00
06/16/2025,2,East,2,Tallahassee,51,Regency Outlet,NULL,1,W,12069.55,0.00,7439.77,5814.80,0.00,NULL,NULL,NULL,NULL,12069.55,2.00,NULL,37.00,41.00,NULL,55.11,51.58,849.94,0.00,326.20,4.00,6.75,7439.77,4049.79,0.00,-9.76
06/16/2025,2,East,3,Greensboro,1,Greensboro,NULL,1,W,-600.06,0.00,2699.93,988.47,-3799.00,NULL,NULL,NULL,NULL,4588.87,6.00,NULL,31.00,38.00,NULL,19.11,-63.46,250.00,0.00,-19.36,5.00,1.20,0.00,629.64,0.00,-18.42
06/16/2025,2,East,3,Greensboro,2,Winston Salem,NULL,1,W,23794.46,0.00,13668.69,9988.46,2811.99,NULL,NULL,NULL,NULL,25884.40,0.00,NULL,54.00,43.00,NULL,58.89,56.28,1903.05,0.00,440.64,11.00,3.73,1952.67,1745.10,0.00,25.58
06/16/2025,2,East,3,Greensboro,3,Burlington,NULL,1,W,-8510.10,0.00,0.00,-8735.57,784.46,NULL,NULL,NULL,NULL,5159.76,5.00,NULL,11.00,14.00,NULL,54.11,47.13,838.39,0.00,-773.65,7.00,-2.29,307.82,739.97,0.00,-21.43
06/16/2025,2,East,3,Greensboro,4,Danville,NULL,1,W,6287.85,0.00,6307.91,2848.91,3657.94,NULL,NULL,NULL,NULL,6603.28,0.00,NULL,16.00,10.00,NULL,67.23,60.24,256.02,0.00,392.99,5.00,1.60,3153.96,0.00,0.00,60.00
06/16/2025,2,East,3,Greensboro,51,Greensboro Outlet,NULL,1,W,1319.65,0.00,1856.99,-378.32,0.00,NULL,NULL,NULL,NULL,3255.96,3.50,NULL,21.00,22.00,NULL,40.39,37.75,1071.97,0.00,62.84,5.00,0.40,0.00,466.32,0.00,-4.55
06/16/2025,4,Outlet,1,Mobile,51,Pensacola Outlet,NULL,1,W,9258.80,0.00,0.00,4973.90,0.00,NULL,NULL,NULL,NULL,9258.80,0.00,NULL,25.00,36.00,NULL,56.22,56.22,1360.81,0.00,370.35,4.00,4.00,0.00,2314.70,0.00,-30.56
06/16/2025,4,Outlet,1,Mobile,51,Pensacola Outlet,NULL,1,W,18517.60,0.00,0.00,9947.80,0.00,NULL,NULL,NULL,NULL,18517.60,2.00,NULL,25.00,36.00,NULL,56.22,56.22,2721.62,0.00,740.70,8.00,4.00,0.00,2314.70,0.00,-30.56
06/16/2025,4,Outlet,2,Tallahassee,51,Regency Outlet,NULL,1,W,12069.55,0.00,7439.77,5814.80,0.00,NULL,NULL,NULL,NULL,12069.55,0.00,NULL,37.00,41.00,NULL,55.11,51.58,849.94,0.00,326.20,4.00,6.75,0.00,4049.79,0.00,-9.76
06/16/2025,4,Outlet,2,Tallahassee,51,Regency Outlet,NULL,1,W,24139.10,0.00,14879.54,11629.60,0.00,NULL,NULL,NULL,NULL,24139.10,2.00,NULL,37.00,41.00,NULL,55.11,51.58,1699.88,0.00,652.41,8.00,6.75,14879.54,4049.79,0.00,-9.76
06/16/2025,4,Outlet,3,Greensboro,51,Greensboro Outlet,NULL,1,W,1319.65,0.00,1856.99,-378.32,0.00,NULL,NULL,NULL,NULL,3255.96,0.00,NULL,21.00,22.00,NULL,40.39,37.75,1071.97,0.00,62.84,5.00,0.40,0.00,466.32,0.00,-4.55
06/16/2025,4,Outlet,3,Greensboro,51,Greensboro Outlet,NULL,1,W,2639.30,0.00,3713.98,-756.64,0.00,NULL,NULL,NULL,NULL,6511.92,3.50,NULL,21.00,22.00,NULL,40.39,37.75,2143.94,0.00,125.68,10.00,0.40,0.00,466.32,0.00,-4.55
06/11/2025,1,West,1,Mobile,1,Mobile,NULL,1,W,5059.80,1.00,0.00,1584.94,0.00,NULL,NULL,NULL,NULL,2529.92,2.00,NULL,33.00,31.00,NULL,83.90,79.60,-0.02,3.03,153.33,3.00,1.00,1089.97,719.98,0.00,6.45
06/11/2025,1,West,1,Mobile,2,DIberville,NULL,1,W,8575.34,2.00,0.00,3887.69,1257.73,NULL,NULL,NULL,NULL,4437.67,7.00,NULL,32.00,30.00,NULL,77.72,77.72,22.27,6.25,267.98,2.00,2.00,0.00,1514.97,0.00,6.67
06/11/2025,1,West,1,Mobile,3,Spanish Fort,NULL,1,W,43616.08,4.00,0.00,14338.97,2949.98,NULL,NULL,NULL,NULL,23217.09,4.00,NULL,21.00,10.00,NULL,79.05,75.18,1928.44,19.05,2076.96,10.00,4.10,4229.93,1208.90,0.00,110.00
06/11/2025,1,West,1,Mobile,4,Pensacola,NULL,1,W,38006.66,4.00,0.00,9634.57,4099.10,NULL,NULL,NULL,NULL,22988.76,6.00,NULL,23.00,21.00,NULL,75.63,72.31,4988.77,17.39,1652.46,11.01,3.09,8725.93,1559.98,0.00,9.52
06/11/2025,1,West,1,Mobile,5,Crestview,NULL,1,W,43873.64,0.00,0.00,10571.08,7270.80,NULL,NULL,NULL,NULL,21936.80,3.00,NULL,11.00,12.00,NULL,81.11,80.99,1738.47,0.00,3988.51,7.00,6.14,289.33,2633.60,0.00,-8.33
